OD_ORIGIN_AIRPRT_IATA_CD,OD_DESTNTN_AIRPRT_IATA_CD,AIRPORT_NM,OD_DEP_CITY_METRO_CD,OD_ARVL_CITY_METRO_CD,CITY,CNTRY_CD,STATE_PROVNC_CD
SMX,SMX,Public Apt,SMX,SMX,Santa Maria,US,CA
SMY,SMY,Simenti,SMY,SMY,Simenti,SN,
SMZ,SMZ,Stoelmanseiland,SMZ,SMZ,Stoelmanseiland,SR,
SNA,SNA,John Wayne,SNA,SNA,Santa Ana,US,CA
SNB,SNB,Snake Bay,SNB,SNB,Milikapiti,AU,NT
SNC,SNC,General Ulpiano Paez,SNC,SNC,Salinas,EC,
SNE,SNE,Preguica,SNE,SNE,Sao Nicolau Island,CV,
SNF,SNF,Nestor Arias,SNF,SNF,San Felipe,VE,
SNG,SNG,Cap.Juan Cochamanidis,SNG,SNG,San Ignacio de Velasco,BO,
SNH,SNH,Stanthorpe,SNH,SNH,Stanthorpe,AU,QL
SNI,SNI,R.E. Murray,SNI,SNI,Greenville,LR,
SNJ,SNJ,San Julian Air Base,SNJ,SNJ,San Julian,CU,
SNK,SNK,Winston Field,SNK,SNK,Snyder,US,TX
SNL,SNL,Shawnee Regional,SNL,SNL,Shawnee,US,OK
SNM,SNM,San Ignacio de Moxos,SNM,SNM,San Ignacio de Moxos,BO,
SNN,SNN,Shannon International,SNN,SNN,Shannon,IE,
SNO,SNO,Sakon Nakhon,SNO,SNO,Sakon Nakhon,TH,
SNP,SNP,St Paul Island,SNP,SNP,St Paul Island,US,AK
SNQ,SNQ,San Quintin,SNQ,SNQ,San Quintin,MX,
SNR,SNR,Montoir,SNR,SNR,St-Nazaire,FR,
SNS,SNS,Salinas Municipal,SNS,SNS,Salinas,US,CA
SNT,SNT,Las Cruces,SNT,SNT,Sabana de Torres,CO,
SNU,SNU,Abel Santamaria,SNU,SNU,Santa Clara,CU,
SNV,SNV,Santa Elena de Uairen,SNV,SNV,Santa Elena de Uairen,VE,
SNW,SNW,Thandwe,SNW,SNW,Thandwe,MM,
SNX,SNX,Semnan,SNX,SNX,Semnan,IR,
SNY,SNY,Sidney Municipal,SNY,SNY,Sidney,US,NE
SNZ,SNZ,Santa Cruz AB,RIO,RIO,Rio de Janeiro,BR,RJ
SOA,SOA,Soc Trang,SOA,SOA,Soc Trang,VN,
SOB,SOB,Balaton,SOB,SOB,Heviz,HU,
SOC,SOC,Adi Sumarmo,SOC,SOC,Surakarta (Solo),ID,
SOE,SOE,Souanke,SOE,SOE,Souanke,CG,
SOF,SOF,Sofia,SOF,SOF,Sofia,BG,
SOG,SOG,Haukasen,SOG,SOG,Sogndal,NO,
SOH,SOH,Solita,SOH,SOH,Solita,CO,
SOJ,SOJ,Sorkjosen,SOJ,SOJ,Sorkjosen,NO,
SOK,SOK,Semongkong,SOK,SOK,Semongkong,LS,
SOL,SOL,State Field,SOL,SOL,Solomon,US,AK
SOM,SOM,San Tome,SOM,SOM,San Tome,VE,
SON,SON,Santo,SON,SON,Luganville,VU,
SOO,SOO,Soderhamn,SOO,SOO,Soderhamn,SE,
SOP,SOP,Moore County,SOP,SOP,Pinehurst/South. Pines,US,NC
SOQ,SOQ,Domine Eduard Osok,SOQ,SOQ,Sorong,ID,
SOR,SOR,Al Thaurah,SOR,SOR,Al Thaurah,SY,
SOT,SOT,Sodankyla,SOT,SOT,Sodankyla,FI,
SOU,SOU,Southampton,SOU,SOU,Southampton,GB,
SOV,SOV,Seldovia,SOV,SOV,Seldovia,US,AK
SOW,SOW,Show Low Regional,SOW,SOW,Show Low,US,AZ
SOX,SOX,Alberto Lleras Camargo,SOX,SOX,Sogamoso,CO,
SOY,SOY,Stronsay,SOY,SOY,Stronsay,GB,
SOZ,SOZ,Solenzara,SOZ,SOZ,Solenzara,FR,
SPA,SPA,Spartanb. Downtown Mem,GSP,GSP,Greenville/Spartanburg,US,SC
SPB,SPB,Charlotte Amalie SPB,STT,STT,St Thomas Island,VI,
SPC,SPC,La Palma,SPC,SPC,Santa Cruz de la Palma,ES,
SPD,SPD,Saidpur,SPD,SPD,Saidpur,BD,
SPE,SPE,Sepulot,SPE,SPE,Sepulot,MY,
SPF,SPF,Black Hills,SPF,SPF,Spearfish,US,SD
SPG,SPG,St Pete-Albert Whitted,TPA,TPA,Tampa,US,FL
SPH,SPH,Sopu,SPH,SPH,Sopu,PG,
SPI,SPI,A.Lincoln Capital,SPI,SPI,Springfield,US,IL
SPJ,SPJ,Sparta,SPJ,SPJ,Sparta,GR,
SPM,SPM,Spangdahlem Air Base,SPM,SPM,Spangdahlem,DE,
SPN,SPN,Francisco C. Ada Intl,SPN,SPN,Saipan,MP,
SPP,SPP,Menongue,SPP,SPP,Menongue,AO,
SPR,SPR,San Pedro,SPR,SPR,San Pedro,BZ,
SPS,SPS,Municipal/Sheppard AFB,SPS,SPS,Wichita Falls,US,TX
SPT,SPT,Sipitang,SPT,SPT,Sipitang,MY,
SPU,SPU,Split,SPU,SPU,Split,HR,
SPV,SPV,Sepik Plains,SPV,SPV,Sepik Plains,PG,
SPW,SPW,Spencer Municipal,SPW,SPW,Spencer,US,IA
SPX,SPX,Sphinx International,SPX,SPX,Giza,EG,
SPY,SPY,San-Pedro,SPY,SPY,San-Pedro,CI,
SPZ,SPZ,Springdale Municipal,FYV,FYV,Fayetteville/Springd.,US,AR
SQA,SQA,Santa Ynez,SQA,SQA,Santa Ynez,US,CA
SQB,SQB,Santa Ana,SQB,SQB,Piedras,CO,
SQC,SQC,Southern Cross,SQC,SQC,Southern Cross,AU,WA
SQD,SQD,Sanqingshan,SQD,SQD,Shangrao,CN,
SQE,SQE,San Luis de Palenque,SQE,SQE,San Luis de Palenque,CO,
SQF,SQF,Solano,SQF,SQF,Solano,CO,
SQG,SQG,Susilo,SQG,SQG,Sintang,ID,
SQH,SQH,Na San,SQH,SQH,Son La,VN,
SQI,SQI,Whiteside County,SQI,SQI,Sterling/Rock Falls,US,IL
SQJ,SQJ,Shaxian,SQJ,SQJ,Sanming,CN,
SQK,SQK,Sidi Barrani,SQK,SQK,Sidi Barrani,EG,
SQL,SQL,San Carlos,SQL,SQL,San Carlos,US,CA
SQM,SQM,Sao Miguel do Araguaia,SQM,SQM,Sao Miguel do Araguaia,BR,GO
SQN,SQN,Emalamo,SQN,SQN,Sanana,ID,
SQO,SQO,Storuman,SQO,SQO,Storuman,SE,
SQQ,SQQ,Siauliai International,SQQ,SQQ,Siauliai,LT,
SQS,SQS,Matthew Spain,SQS,SQS,San Ignacio,BZ,
SQT,SQT,China Strait,SQT,SQT,Samarai Island,PG,
SQU,SQU,Saposoa,SQU,SQU,Saposoa,PE,
SQV,SQV,Sequim Valley,SQV,SQV,Sequim,US,WA
SQW,SQW,Skive Airport,SQW,SQW,Skive,DK,
SQX,SQX,Helio Wasum,SQX,SQX,Sao Miguel do Oeste,BR,SC
SQY,SQY,Sao Lourenco do Sul,SQY,SQY,Sao Lourenco do Sul,BR,RS
SQZ,SQZ,Scampton RAF Station,SQZ,SQZ,Scampton,GB,
SRA,SRA,Luis Alberto Lehr,SRA,SRA,Santa Rosa,BR,RS
SRB,SRB,Santa Rosa,SRB,SRB,Santa Rosa,BO,
SRC,SRC,Searcy Municipal,SRC,SRC,Searcy,US,AR
SRD,SRD,San Ramon,SRD,SRD,San Ramon,BO,
SRE,SRE,Alcantari,SRE,SRE,Sucre,BO,
SRF,SRF,San Rafael Airport,SRF,SRF,San Rafael,US,CA
SRG,SRG,Ahmad Yani,SRG,SRG,Semarang,ID,
SRH,SRH,Sarh,SRH,SRH,Sarh,TD,
SRI,SRI,Temindung,SRI,SRI,Samarinda,ID,
SRJ,SRJ,German Quiroga Guardia,SRJ,SRJ,San Borja,BO,
SRL,SRL,Palo Verde,SRL,SRL,Santa Rosalia,MX,
SRM,SRM,Sandringham Station,SRM,SRM,Sandringham Station,AU,QL
SRN,SRN,Strahan,SRN,SRN,Strahan,AU,TS
SRO,SRO,Santana Ramos,SRO,SRO,Santana Ramos,CO,
SRP,SRP,Sorstokken,SRP,SRP,Stord,NO,
SRQ,SRQ,Sarasota/Bradenton International,SRQ,SRQ,Sarasota/Bradenton,US,FL
SRR,SRR,Dunwich,SRR,SRR,Stradbroke Island,AU,QL
SRS,SRS,San Marcos,SRS,SRS,San Marcos,CO,
SRT,SRT,Soroti,SRT,SRT,Soroti,UG,
SRV,SRV,Stony River,SRV,SRV,Stony River,US,AK
SRW,SRW,Rowan County,SRW,SRW,Salisbury,US,NC
SRX,SRX,Gardabya,SRX,SRX,Sirte,LY,
SRY,SRY,Dasht-e-Naz,SRY,SRY,Sari,IR,
SRZ,SRZ,El Trompillo,SRZ,SRZ,Santa Cruz,BO,
SSA,SSA,Luis E. Magalhaes Intl,SSA,SSA,Salvador,BR,BA
SSB,SSB,Christiansted SPB,STX,STX,St Croix Island,VI,
SSC,SSC,Shaw AFB,SSC,SSC,Sumter,US,SC
SSD,SSD,San Felipe,SSD,SSD,San Felipe,CO,
SSE,SSE,Solapur,SSE,SSE,Solapur,IN,MH
SSF,SSF,Stinson Municipal,SAT,SAT,San Antonio,US,TX
SSG,SSG,Malabo International,SSG,SSG,Malabo,GQ,
SSH,SSH,Sharm el-Sheikh International,SSH,SSH,Sharm el-Sheikh,EG,
SSI,SSI,McKinnon St Simons Is.,SSI,SSI,Brunswick,US,GA
SSJ,SSJ,Stokka,SSJ,SSJ,Sandnessjoen,NO,
SSK,SSK,Sturt Creek,SSK,SSK,Sturt Creek,AU,WA
SSL,SSL,Santa Rosalia,SSL,SSL,Santa Rosalia,CO,
SSM,SSM,Sault Ste Marie Municipal,SSM,SSM,Sault Ste Marie,US,MI
SSN,SSN,Seoul Air Base,SEL,SEL,Seoul,KR,
SSO,SSO,Sao Lourenco,SSO,SSO,Sao Lourenco,BR,MG
SSP,SSP,Silver Plains,SSP,SSP,Silver Plains,AU,QL
SSQ,SSQ,La Sarre,SSQ,SSQ,La Sarre,CA,QC
SSR,SSR,Sara,SSR,SSR,Sara,VU,
SSS,SSS,Siassi,SSS,SSS,Siassi,PG,
SST,SST,Santa Teresita,SST,SST,Santa Teresita,AR,BA
SSV,SSV,Siasi,SSV,SSV,Siasi,PH,
SSW,SSW,Airpark,SSW,SSW,Stuart Island,US,WA
SSX,SSX,Singita Safari Lodge,SSX,SSX,Singita Safari Lodge,ZA,
SSY,SSY,M'banza Congo,SSY,SSY,M'banza Congo,AO,
SSZ,SSZ,Santos AFB,SSZ,SSZ,Santos,BR,SP
STA,STA,Stauning,STA,STA,Stauning,DK,
STB,STB,Miguel U. Fernandez,STB,STB,Santa Barbara Zulia,VE,
STC,STC,St Cloud Regional,STC,STC,St Cloud,US,MN
STD,STD,Buenaventura Vivas,STD,STD,Santo Domingo,VE,
STE,STE,Stevens Point Municipal,STE,STE,Stevens Point,US,WI
STF,STF,Stephens Island,STF,STF,Stephens Island,AU,QL
STG,STG,St George Island,STG,STG,St George Island,US,AK
STH,STH,Strathmore,STH,STH,Strathmore,AU,QL
STI,STI,Cibao Intl,STI,STI,Santiago,DO,
STJ,STJ,Rosecrans Memorial,STJ,STJ,St Joseph,US,MO
STK,STK,Sterling Municipal,STK,STK,Sterling,US,CO
STL,STL,Lambert-St Louis Intl,STL,STL,St Louis,US,MO
STM,STM,Maestro Wilson Fonseca,STM,STM,Santarem,BR,PA
STN,STN,Stansted,LON,LON,London,GB,
STP,STP,St Paul Downtown Apt,MSP,MSP,Minneapolis/St Paul,US,MN
STQ,STQ,St Marys Municipal,STQ,STQ,St Marys,US,PA
STR,STR,Stuttgart Airport,STR,STR,Stuttgart,DE,
STS,STS,Charles M. Schulz,STS,STS,Santa Rosa,US,CA
STT,STT,Cyril E. King,STT,STT,St Thomas Island,VI,
STV,STV,Surat,STV,STV,Surat,IN,GJ
STW,STW,Shpakovskoye,STW,STW,Stavropol,RU,
STX,STX,Henry E. Rohlsen,STX,STX,St Croix Island,VI,
STY,STY,Nueva Hesperides,STY,STY,Salto,UY,
STZ,STZ,Santa Terezinha,STZ,STZ,Santa Terezinha,BR,MT
SUA,SUA,Witham Field,SUA,SUA,Stuart,US,FL
SUB,SUB,Juanda,SUB,SUB,Surabaya,ID,
SUD,SUD,Stroud Municipal,SUD,SUD,Stroud,US,OK
SUE,SUE,Door County Cherryland,SUE,SUE,Sturgeon Bay,US,WI
SUF,SUF,Lamezia Terme Airport,SUF,SUF,Lamezia Terme,IT,
SUG,SUG,Surigao,SUG,SUG,Surigao,PH,
SUH,SUH,Sur,SUH,SUH,Sur,OM,
SUI,SUI,Dranda,SUI,SUI,Sokhumi,GE,
SUJ,SUJ,Satu Mare,SUJ,SUJ,Satu Mare,RO,
SUK,SUK,Sakkyryr,SUK,SUK,Sakkyryr,RU,
SUL,SUL,Sui,SUL,SUL,Sui,PK,
SUM,SUM,Sumter Apt,SSC,SSC,Sumter,US,SC
SUN,SUN,Friedman Memorial,SUN,SUN,Hailey/Sun Valley,US,ID
SUO,SUO,Sunriver,SUO,SUO,Sunriver,US,OR
SUQ,SUQ,Sucua,SUQ,SUQ,Sucua,EC,
SUR,SUR,Summer Beaver,SUR,SUR,Summer Beaver,CA,ON
SUS,SUS,Spirit Of St Louis,STL,STL,St Louis,US,MO
SUT,SUT,Sumbawanga,SUT,SUT,Sumbawanga,TZ,
SUU,SUU,Travis AFB,SUU,SUU,Fairfield,US,CA
SUV,SUV,Nausori Intl,SUV,SUV,Suva,FJ,
SUW,SUW,Richard I Bong,SUW,SUW,Superior,US,WI
SUX,SUX,Sioux Gateway,SUX,SUX,Sioux City,US,IA
SUY,SUY,Suntar,SUY,SUY,Suntar,RU,
SUZ,SUZ,Suria,SUZ,SUZ,Suria,PG,
SVA,SVA,Savoonga,SVA,SVA,Savoonga,US,AK
SVB,SVB,Sambava,SVB,SVB,Sambava,MG,
SVC,SVC,Grant County,SVC,SVC,Silver City,US,NM
SVD,SVD,Argyle International,SVD,SVD,St Vincent,VC,
SVE,SVE,Susanville Municipal,SVE,SVE,Susanville,US,CA
SVF,SVF,Save,SVF,SVF,Save,BJ,
SVG,SVG,Sola,SVG,SVG,Stavanger,NO,
SVH,SVH,Statesville Regional,SVH,SVH,Statesville,US,NC
SVI,SVI,Eduardo Falla Solano,SVI,SVI,San Vicente del Caguan,CO,
SVJ,SVJ,Helle,SVJ,SVJ,Svolvaer,NO,
SVK,SVK,Silver Creek,SVK,SVK,Silver Creek,BZ,
SVL,SVL,Savonlinna,SVL,SVL,Savonlinna,FI,
SVM,SVM,St Pauls,SVM,SVM,St Pauls,AU,QL
SVN,SVN,Hunter AAF,SAV,SAV,Savannah,US,GA
SVO,SVO,Sheremetyevo,MOW,MOW,Moscow,RU,
SVP,SVP,Kuito,SVP,SVP,Kuito,AO,
SVQ,SVQ,Sevilla Airport,SVQ,SVQ,Sevilla,ES,
SVS,SVS,Stevens Village,SVS,SVS,Stevens Village,US,AK
SVT,SVT,Savuti,SVT,SVT,Savuti,BW,
SVU,SVU,Savusavu,SVU,SVU,Savusavu,FJ,
SVV,SVV,San Salvador de Paul,SVV,SVV,San Salvador de Paul,VE,
SVW,SVW,Sparrevohn,SVW,SVW,Sparrevohn,US,AK
SVX,SVX,Koltsovo,SVX,SVX,Yekaterinburg,RU,
SVY,SVY,Savo Island,SVY,SVY,Savo Island,SB,
SVZ,SVZ,Juan V. Gomez Intl,SVZ,SVZ,San Antonio Tachira,VE,
SWA,SWA,Jieyang Chaoshan,SWA,SWA,Shantou,CN,
SWB,SWB,Shaw River,SWB,SWB,Shaw River,AU,WA
SWC,SWC,Stawell,SWC,SWC,Stawell,AU,VI
SWD,SWD,Seward,SWD,SWD,Seward,US,AK
SWE,SWE,Siwea,SWE,SWE,Siwea,PG,
SWF,SWF,Stewart International,NYC,NYC,New York,US,NY
SWG,SWG,Satwag,SWG,SWG,Satwag,PG,
SWH,SWH,Swan Hill,SWH,SWH,Swan Hill,AU,VI
SWJ,SWJ,South West Bay,SWJ,SWJ,South West Bay,VU,
SWL,SWL,San Vicente,SWL,SWL,San Vicente,PH,
SWM,SWM,Suia-Missu,SWM,SWM,Alto Boa Vista,BR,MT
SWN,SWN,Sahiwal,SWN,SWN,Sahiwal,PK,
SWO,SWO,Stillwater Regional,SWO,SWO,Stillwater,US,OK
SWP,SWP,Swakopmund Airport,SWP,SWP,Swakopmund,NA,
SWQ,SWQ,Brangbiji,SWQ,SWQ,Sumbawa,ID,
SWR,SWR,Silur,SWR,SWR,Silur,PG,
SWS,SWS,Swansea,SWS,SWS,Swansea,GB,
SWT,SWT,Strezhevoy,SWT,SWT,Strezhevoy,RU,
SWU,SWU,Suwon Air Base,SWU,SWU,Suwon,KR,
SWV,SWV,Severo-Evensk,SWV,SWV,Evensk,RU,
SWW,SWW,Avenger Field,SWW,SWW,Sweetwater,US,TX
SWX,SWX,Shakawe,SWX,SWX,Shakawe,BW,
SWY,SWY,Sitiawan,SWY,SWY,Sitiawan,MY,
SXA,SXA,Sialum,SXA,SXA,Sialum,PG,
SXB,SXB,Entzheim,SXB,SXB,Strasbourg,FR,
SXE,SXE,West Sale,SXE,SXE,Sale,AU,VI
SXF,SXF,Schoenefeld,BER,BER,Berlin,DE,
SXG,SXG,Senanga,SXG,SXG,Senanga,ZM,
SXH,SXH,Sehulea,SXH,SXH,Sehulea,PG,
SXI,SXI,Sirri Island,SXI,SXI,Sirri Island,IR,
SXJ,SXJ,Shanshan,SXJ,SXJ,Shanshan,CN,
SXK,SXK,Olilit,SXK,SXK,Saumlaki,ID,
SXL,SXL,Sligo Airport,SXL,SXL,Sligo,IE,
SXM,SXM,Princess Juliana Intl,SXM,SXM,St Maarten,SX,
SXN,SXN,Sua Pan,SXN,SXN,Sua Pan,BW,
SXO,SXO,Sao Felix do Araguaia,SXO,SXO,Sao Felix do Araguaia,BR,MT
SXP,SXP,Sheldon Point,SXP,SXP,Nunam Iqua,US,AK
SXQ,SXQ,Soldotna,SXQ,SXQ,Soldotna,US,AK
SXR,SXR,Sheikh ul Alam,SXR,SXR,Srinagar,IN,JK
SXS,SXS,Sahabat,SXS,SXS,Sahabat,MY,
SXT,SXT,Sungai Tiang,SXT,SXT,Taman Negara,MY,
SXU,SXU,Sodo,SXU,SXU,Sodo,ET,
SXW,SXW,Sauren,SXW,SXW,Sauren,PG,
SXX,SXX,Sao Felix do Xingu,SXX,SXX,Sao Felix do Xingu,BR,PA
SXY,SXY,Sidney Municipal,SXY,SXY,Sidney,US,NY
SXZ,SXZ,Siirt,SXZ,SXZ,Siirt,TR,
SYA,SYA,Eareckson Air Station,SYA,SYA,Shemya,US,AK
SYB,SYB,Seal Bay Sea Plane Base,SYB,SYB,Seal Bay,US,AK
SYC,SYC,Shiringayoc,SYC,SYC,Shiringayoc,PE,
SYD,SYD,Kingsford Smith,SYD,SYD,Sydney,AU,NS
SYE,SYE,Sadah,SYE,SYE,Sadah,YE,
SYF,SYF,Silva Bay SPB,SYF,SYF,Gabriola Island,CA,BC
SYH,SYH,Syangboche,SYH,SYH,Syangboche,NP,
SYI,SYI,Municipal-Bomar Field,SYI,SYI,Shelbyville,US,TN
SYJ,SYJ,Sirjan,SYJ,SYJ,Sirjan,IR,
SYK,SYK,Stykkisholmur,SYK,SYK,Stykkisholmur,IS,
SYM,SYM,Simao,SYM,SYM,Simao,CN,
SYN,SYN,Stanton,SYN,SYN,Stanton,US,MN
SYO,SYO,Shonai,SYO,SYO,Shonai,JP,
SYP,SYP,Ruben Cantu,SYP,SYP,Santiago,PA,
SYR,SYR,Hancock Intl,SYR,SYR,Syracuse,US,NY
SYS,SYS,Saskylakh,SYS,SYS,Saskylakh,RU,
SYT,SYT,St-Yan,SYT,SYT,St-Yan,FR,
SYU,SYU,Warraber Island,SYU,SYU,Warraber Island,AU,QL
SYV,SYV,Sylvester,SYV,SYV,Sylvester,US,GA
SYW,SYW,Sehwan Sharif,SYW,SYW,Sehwan,PK,
SYX,SYX,Phoenix Intl,SYX,SYX,Sanya,CN,
SYY,SYY,Stornoway,SYY,SYY,Stornoway,GB,
SYZ,SYZ,Shahid Dastghaib Intl,SYZ,SYZ,Shiraz,IR,
SZA,SZA,Soyo,SZA,SZA,Soyo,AO,
SZB,SZB,Sultan Abdul Aziz Shah,KUL,KUL,Kuala Lumpur,MY,
SZE,SZE,Semera,SZE,SZE,Semera,ET,
SZF,SZF,Carsamba,SZF,SZF,Samsun,TR,
SZG,SZG,W.A. Mozart,SZG,SZG,Salzburg,AT,
SZI,SZI,Zaysan,SZI,SZI,Zaysan,KZ,
SZJ,SZJ,Siguanea,SZJ,SZJ,Siguanea,CU,
SZK,SZK,Skukuza,SZK,SZK,Skukuza,ZA,
SZL,SZL,Whiteman AFB,SZL,SZL,Knob Noster,US,MO
SZM,SZM,Sesriem,SZM,SZM,Sesriem,NA,
SZN,SZN,Santa Cruz Island,SZN,SZN,Santa Cruz Island,US,CA
SZP,SZP,Santa Paula,SZP,SZP,Santa Paula,US,CA
SZR,SZR,Kolyu Ganchevo,SZR,SZR,Stara Zagora,BG,
SZS,SZS,Ryan's Creek,SZS,SZS,Stewart Island,NZ,
SZU,SZU,Segou,SZU,SZU,Segou,ML,
SZW,SZW,Parchim,SZW,SZW,Schwerin,DE,
SZX,SZX,Bao'an Intl,SZX,SZX,Shenzhen,CN,
SZY,SZY,Olsztyn-Mazury,SZY,SZY,Szczytno,PL,
SZZ,SZZ,Goleniow,SZZ,SZZ,Szczecin,PL,
TAA,TAA,Tarapaina,TAA,TAA,Tarapaina,SB,
TAB,TAB,A.N.R. Robinson Intl,TAB,TAB,Tobago,TT,
TAC,TAC,D.Z. Romualdez,TAC,TAC,Tacloban,PH,
TAD,TAD,Perry Stokes,TAD,TAD,Trinidad,US,CO
TAE,TAE,Daegu International,TAE,TAE,Daegu,KR,
TAF,TAF,Tafaraoui,ORN,ORN,Oran,DZ,
TAG,TAG,Bohol International,TAG,TAG,Panglao,PH,
TAH,TAH,Tanna,TAH,TAH,Tanna Island,VU,
TAI,TAI,Taizz International,TAI,TAI,Taizz,YE,
TAJ,TAJ,Tadji,ATP,ATP,Aitape,PG,
TAK,TAK,Takamatsu,TAK,TAK,Takamatsu,JP,
TAL,TAL,Ralph M. Calhoun Mem.,TAL,TAL,Tanana,US,AK
TAM,TAM,F. Javier Mina Intl,TAM,TAM,Tampico,MX,
TAN,TAN,Tangalooma,TAN,TAN,Tangalooma,AU,QL
TAO,TAO,Liuting Intl,TAO,TAO,Qingdao,CN,
TAP,TAP,Tapachula International,TAP,TAP,Tapachula,MX,
TAQ,TAQ,Tarcoola,TAQ,TAQ,Tarcoola,AU,SA
TAR,TAR,Grottaglie,TAR,TAR,Taranto,IT,
TAS,TAS,Tashkent International,TAS,TAS,Tashkent,UZ,
TAT,TAT,Tatry,TAT,TAT,Poprad,SK,
TAU,TAU,Tauramena,TAU,TAU,Tauramena,CO,
TAV,TAV,Tau,TAV,TAV,Tau,AS,
TAW,TAW,Tacuarembo,TAW,TAW,Tacuarembo,UY,
TAX,TAX,Taliabu,TAX,TAX,Taliabu,ID,
TAY,TAY,Ulenurme,TAY,TAY,Tartu,EE,
TAZ,TAZ,Dashoguz,TAZ,TAZ,Dashoguz,TM,
TBA,TBA,Tabibuga,TBA,TBA,Tabibuga,PG,
TBB,TBB,Dong Tac,TBB,TBB,Tuy Hoa,VN,
TBC,TBC,Tuba City,TBC,TBC,Tuba City,US,AZ
TBD,TBD,Timbiqui,TBD,TBD,Timbiqui,CO,
TBE,TBE,Timbunke,TBE,TBE,Timbunke,PG,
TBF,TBF,Tabiteuea North,TBF,TBF,Tabiteuea North,KI,
TBG,TBG,Tabubil,TBG,TBG,Tabubil,PG,
TBH,TBH,Tugdan,TBH,TBH,Tablas Island,PH,
TBI,TBI,New Bight,TBI,TBI,The Bight,BS,
TBJ,TBJ,Ain Draham,TBJ,TBJ,Tabarka,TN,
TBK,TBK,Timber Creek,TBK,TBK,Timber Creek,AU,NT
TBL,TBL,Tableland Homestead,TBL,TBL,Tablelands,AU,WA
TBM,TBM,Tumbang Samba,TBM,TBM,Tumbang Samba,ID,
TBN,TBN,Waynesvl-St Robert Rgn,TBN,TBN,Fort Leonard Wood,US,MO
TBO,TBO,Tabora,TBO,TBO,Tabora,TZ,
TBP,TBP,Pedro Canga Rodriguez,TBP,TBP,Tumbes,PE,
TBQ,TBQ,Tarabo,TBQ,TBQ,Tarabo,PG,
TBR,TBR,Bulloch County,TBR,TBR,Statesboro,US,GA
TBS,TBS,Tbilisi International,TBS,TBS,Tbilisi,GE,
TBT,TBT,Tabatinga International,TBT,TBT,Tabatinga,BR,AM
TBU,TBU,Fua'amotu Intl,TBU,TBU,Nuku'alofa,TO,
TBV,TBV,Tabal Island,TBV,TBV,Tabal Island,MH,
TBW,TBW,Donskoye,TBW,TBW,Tambov,RU,
TBY,TBY,Tshabong,TBY,TBY,Tshabong,BW,
TBZ,TBZ,Tabriz International,TBZ,TBZ,Tabriz,IR,
TCA,TCA,Tennant Creek,TCA,TCA,Tennant Creek,AU,NT
TCB,TCB,Treasure Cay,TCB,TCB,Treasure Cay,BS,
TCC,TCC,Tucumcari Municipal,TCC,TCC,Tucumcari,US,NM
TCD,TCD,Tarapaca,TCD,TCD,Tarapaca,CO,
TCE,TCE,Delta Dunarii,TCE,TCE,Tulcea,RO,
TCF,TCF,Tocoa,TCF,TCF,Tocoa,HN,
TCG,TCG,Tacheng,TCG,TCG,Tacheng,CN,
TCH,TCH,Tchibanga,TCH,TCH,Tchibanga,GA,
TCJ,TCJ,Torembi,TCJ,TCJ,Torembi,PG,
TCK,TCK,Tinboli,TCK,TCK,Tinboli,PG,
TCL,TCL,Tuscaloosa Regional,TCL,TCL,Tuscaloosa,US,AL
TCM,TCM,McChord Field,TIW,TIW,Tacoma,US,WA
TCN,TCN,Tehuacan,TCN,TCN,Tehuacan,MX,
TCO,TCO,La Florida,TCO,TCO,Tumaco,CO,
TCP,TCP,Taba International,TCP,TCP,Taba,EG,
TCQ,TCQ,C.Ciriani Santa Rosa,TCQ,TCQ,Tacna,PE,
TCS,TCS,Truth or Consequences Municipal,TCS,TCS,Truth or Consequences,US,NM
TCT,TCT,Takotna,TCT,TCT,Takotna,US,AK
TCU,TCU,Thaba Nchu,TCU,TCU,Thaba Nchu,ZA,
TCW,TCW,Tocumwal,TCW,TCW,Tocumwal,AU,NS
TCX,TCX,Tabas,TCX,TCX,Tabas,IR,
TCY,TCY,Terrace Bay,TCY,TCY,Terrace Bay,NA,
TCZ,TCZ,Tuofeng,TCZ,TCZ,Tengchong,CN,
TDA,TDA,Trinidad,TDA,TDA,Trinidad,CO,
TDB,TDB,Tetebedi,TDB,TDB,Tetebedi,PG,
TDD,TDD,Jorge Henrich Arauz,TDD,TDD,Trinidad,BO,
TDG,TDG,Tandag,TDG,TDG,Tandag,PH,
TDJ,TDJ,Tadjoura,TDJ,TDJ,Tadjoura,DJ,
TDK,TDK,Taldykorgan,TDK,TDK,Taldykorgan,KZ,
TDL,TDL,Tandil,TDL,TDL,Tandil,AR,BA
TDN,TDN,Theda Station,TDN,TDN,Theda Station,AU,WA
TDO,TDO,South Lewis County,TDO,TDO,Toledo,US,WA
TDP,TDP,Trompeteros,TDP,TDP,Trompeteros,PE,
TDR,TDR,Theodore,TDR,TDR,Theodore,AU,QL
TDS,TDS,Sasereme,TDS,TDS,Sasereme,PG,
TDT,TDT,Tanda Tula,TDT,TDT,Timbavati,ZA,
TDV,TDV,Samangoky,TDV,TDV,Tanandava,MG,
TDW,TDW,Tradewind,AMA,AMA,Amarillo,US,TX
TDX,TDX,Trat,TDX,TDX,Trat,TH,
TDZ,TDZ,Executive,TOL,TOL,Toledo,US,OH
TEA,TEA,Tela,TEA,TEA,Tela,HN,
